Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Fours,Sixes,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,Player_Name,T20_BOWLING.Bowl_Avg,T20_BOWLING.Economy_Rate,T20_BOWLING.Overs,T20_BOWLING.SR,T20_FIELDING.Dissmissals,T20_FIELDING.Field_Innings,T20_FIELDING.Matches
141,NZ,34,12,34,4,52,23,0,0,1,2,3,2,1083,42,5\18,0,1,15,0,New Zealand,TG Southee,25.78,8.66,125,17.8,15,34,34
142,IND,10,3,9,2,20,19*,0,0,1,4,0,2,288,7,2\12,0,0,2,0,India,S Sreesanth,41.14,8.47,34,29.1,2,9,10
143,NZ,36,30,26,8,461,60,0,2,2,28,23,0,417,20,4\15,1,0,13,0,New Zealand,JEC Franklin,20.85,7.65,54.3,16.3,13,36,36
144,NZ,31,29,21,2,578,66,0,1,0,40,25,0,349,18,3\5,0,0,8,0,New Zealand,SB Styris,19.38,6.77,51.3,17.1,8,31,31
145,NZ,35,29,32,6,464,66*,0,2,3,37,22,0,793,19,3\33,0,0,12,0,New Zealand,JDP Oram,41.73,8.71,91,28.7,12,35,35
146,IND,4,2,3,0,15,14,0,0,0,2,0,1,85,3,2\10,0,0,0,0,India,AB Agarkar,28.33,8.09,10.3,21,0,3,4
147,NZ,11,7,10,1,68,20*,0,0,1,6,3,0,250,6,2\21,0,0,10,0,New Zealand,CJ Anderson,41.66,8.06,31,31,10,11,11
148,NZ,11,9,0,1,61,26,0,0,0,6,2,0,0,0,0,0,0,9,0,New Zealand,PD McGlashan,0,0,0,0,9,11,11
149,IND,25,6,25,4,55,17*,0,0,0,6,1,1,695,25,4\11,1,0,5,0,India,R Ashwin,27.8,7.23,96,23,5,25,25
150,NZ,33,21,33,6,205,38,0,0,2,14,2,1,720,37,4\20,1,0,9,0,New Zealand,DL Vettori,19.45,5.61,128.1,20.7,9,33,33
151,IND,7,1,7,0,0,0,0,0,1,0,0,1,151,4,2\13,0,0,2,0,India,PP Chawla,37.75,6.56,23,34.5,2,7,7
152,NZ,40,18,41,6,131,33*,0,0,4,10,5,1,1202,40,3\33,0,0,8,0,New Zealand,KD Mills,30.05,8.25,145.4,21.8,8,40,40
153,NZ,22,21,5,1,457,62,0,3,2,47,18,0,68,2,1\2,0,0,7,0,New Zealand,JD Ryder,34,6.8,10,30,7,22,22
154,IND,9,2,9,1,22,19,0,0,0,1,0,1,245,17,4\19,1,0,1,0,India,AB Dinda,14.41,8.16,30,10.5,1,9,9
155,NZ,17,15,6,3,352,51,0,1,0,39,5,0,100,2,1\6,0,0,8,0,New Zealand,KS Williamson,50,11.53,8.4,26,8,17,17
