Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,ODI_BOWLING.Balls,ODI_BOWLING.SR,Player_Name
938,NZ,10,6,10,0,49,17,0,0,1,8,321,6,2\29,0,0,2,0,New Zealand,498,83,GK Robertson
939,NZ,33,33,21,4,583,60,0,1,3,2,386,11,5\32,0,1,11,0,New Zealand,450,40.9,RT Latham
940,NZ,8,8,7,3,237,82,0,2,0,7,224,4,2\17,0,0,0,0,New Zealand,317,79.2,BE Congdon
941,NZ,22,22,0,0,604,88,0,4,0,0,0,0,0,0,0,5,0,New Zealand,0,0,JF Reid
942,NZ,12,8,12,3,65,21,0,0,1,7,449,12,2\25,0,0,2,0,New Zealand,660,55,RG Petrie
943,NZ,22,19,1,0,223,66,0,1,1,0,10,1,1\10,0,0,9,1,New Zealand,16,16,JM Parker
944,NZ,17,15,17,7,156,33,0,0,0,7,524,15,4\33,1,0,4,0,New Zealand,696,46.4,JTC Vaughan
945,NZ,10,9,0,1,258,104,1,0,0,0,0,0,0,0,0,8,2,New Zealand,0,0,KJ Wadsworth
946,NZ,16,11,16,2,142,40,0,0,1,5,604,12,2\31,0,0,9,0,New Zealand,817,68,CM Kuggeleijn
947,NZ,9,6,9,2,40,20,0,0,2,6,337,18,4\34,1,0,2,0,New Zealand,548,30.4,DR Hadlee
948,NZ,11,6,11,2,23,12*,0,0,0,6,354,9,4\59,1,0,1,0,New Zealand,439,48.7,ML Su'a
949,NZ,24,20,3,0,336,47,0,0,1,0,69,1,1\10,0,0,7,0,New Zealand,74,74,MG Burgess
950,NZ,13,7,13,4,30,12,0,0,1,5,513,15,3\28,0,0,5,0,New Zealand,700,46.6,SL Boock
951,NZ,12,8,11,0,61,16,0,0,1,3,351,8,2\33,0,0,7,0,New Zealand,512,64,MN Hart
952,NZ,10,9,10,3,54,30,0,0,1,5,318,6,2\18,0,0,2,0,New Zealand,385,64.1,GE Bradburn
953,NZ,10,7,9,1,98,38,0,0,0,5,286,8,2\26,0,0,3,0,New Zealand,386,48.2,EJ Gray
954,NZ,13,13,1,1,161,45*,0,0,3,0,17,0,0,0,0,6,0,New Zealand,18,0,CD Cumming
955,NZ,17,14,7,3,247,55,0,1,0,1,199,8,3\24,0,0,6,0,New Zealand,283,35.3,JFM Morrison
956,NZ,16,13,16,3,99,24,0,0,2,5,536,8,2\27,0,0,2,0,New Zealand,692,86.5,MW Priest
957,NZ,6,6,1,0,138,41,0,0,1,0,5,1,1\5,0,0,5,0,New Zealand,6,6,GN Edwards
958,NZ,15,15,0,1,305,68*,0,2,1,0,0,0,0,0,0,5,0,New Zealand,0,0,BR Hartland
959,NZ,10,8,10,3,12,7*,0,0,4,4,384,8,2\34,0,0,2,0,New Zealand,465,58.1,RP de Groen
960,NZ,13,7,13,5,10,4*,0,0,1,3,543,23,4\16,2,0,2,0,New Zealand,602,26.1,HK Bennett
961,NZ,12,12,0,0,287,68,0,4,1,0,0,0,0,0,0,2,0,New Zealand,0,0,LG Howell
962,NZ,11,7,11,4,47,16*,0,0,0,3,417,8,2\43,0,0,5,0,New Zealand,438,54.7,BGK Walker
963,NZ,13,13,2,1,167,29*,0,0,2,0,34,1,1\7,0,0,4,0,New Zealand,30,30,BR Blair
964,NZ,8,8,0,1,114,34,0,0,1,0,0,0,0,0,0,4,0,New Zealand,0,0,BF Hastings
965,NZ,4,2,4,2,9,7*,0,0,0,3,215,4,2\31,0,0,0,0,New Zealand,180,45,CJ Drum
966,NZ,8,8,0,0,248,96,0,1,0,0,0,0,0,0,0,4,0,New Zealand,0,0,RH Vance
967,NZ,5,3,5,1,12,9*,0,0,1,3,249,5,2\41,0,0,2,0,New Zealand,264,52.8,TS Nethula
968,NZ,9,9,1,0,248,64,0,2,0,0,13,1,1\13,0,0,3,0,New Zealand,7,7,RB Reid
969,NZ,7,4,7,3,17,8*,0,0,0,2,283,5,2\36,0,0,1,0,New Zealand,312,62.4,RJ Kennedy
970,NZ,15,15,8,0,204,41,0,0,0,2,270,3,1\31,0,0,1,0,New Zealand,330,110,PE McEwan
971,NZ,6,5,6,2,21,13*,0,0,0,2,207,6,2\29,0,0,3,0,New Zealand,246,41,DA Stirling
972,NZ,3,2,3,1,2,1*,0,0,0,2,123,2,1\38,0,0,0,0,New Zealand,168,84,DR O'Sullivan
973,NZ,5,5,0,1,38,10*,0,0,0,0,0,0,0,0,0,3,0,New Zealand,0,0,PN Webb
974,NZ,3,3,2,0,44,32,0,0,0,0,75,1,1\24,0,0,2,0,New Zealand,66,66,VR Brown
975,NZ,3,3,0,0,62,38,0,0,1,0,0,0,0,0,0,2,0,New Zealand,0,0,PG Coman
976,NZ,6,6,0,2,207,92*,0,2,0,0,0,0,0,0,0,1,0,New Zealand,0,0,MHW Papps
